layer,expert,count
15,40,2403
15,41,5752
15,42,6526
15,43,20646
15,44,1198
15,45,2375
15,46,18770
15,47,5585
15,48,1457
15,49,17439
15,50,4349
15,51,7406
15,52,24422
15,53,4917
15,54,686
15,55,1863
15,56,22595
15,57,2642
15,58,3785
15,59,8543
15,60,10270
15,61,8090
15,62,12808
15,63,12319
15,64,2419
15,65,22483
15,66,46709
15,67,11560
15,68,18127
15,69,6499
15,70,2632
15,71,38378
15,72,1184
15,73,3938
15,74,12726
15,75,6413
15,76,2370
15,77,33258
15,78,2715
15,79,9751
15,80,3667
15,81,424
15,82,11378
15,83,43002
15,84,4922
15,85,2443
15,86,2915
15,87,6388
15,88,410
15,89,7542
15,90,7786
15,91,9241
15,92,4264
15,93,11296
15,94,4816
15,95,5910
15,96,15092
15,97,461
15,98,7946
15,99,2801
15,100,52
15,101,1856
15,102,1450
15,103,5404
15,104,915
15,105,3233
15,106,3731
15,107,1865
15,108,37945
15,109,9634
15,110,120
15,111,8669
15,112,14105
15,113,8043
15,114,5918
15,115,1295
15,116,2556
15,117,14203
15,118,63
15,119,16809
15,120,3942
15,121,1863
15,122,8818
15,123,404
15,124,5910
15,125,433
15,126,461
15,127,6350
16,0,6761
16,1,422
16,2,4106
16,3,3849
16,4,26917
16,5,266
16,6,3644
16,7,11797
16,8,4988
